Series,Length,Method,Size,Cmpr,Date    Time,CRC-32,Name
mmwr,191797,Defl:X,62629,67.346%,2024-01-05 19:00,af6c752e,mmwr/about.html
mmwr,188880,Defl:X,61375,67.506%,2024-01-05 19:00,a00181ba,mmwr/mmwr_wk/wk_pvol.html
mmwr,188896,Defl:X,61704,67.334%,2024-01-05 19:00,54db450a,mmwr/mmwr_rr/rr_pvol.html
mmwr,189547,Defl:X,61830,67.380%,2024-01-05 19:00,f2c60d5c,mmwr/mmwr_ss/ss_pvol.html
mmwr,186862,Defl:X,61029,67.340%,2024-01-05 19:00,fce1bfff,mmwr/mmwr_su/index.html
mmwr,57170,Defl:X,13551,76.297%,2024-01-05 19:00,0910c07e,mmwr/preview/index82.html
mmwr,57915,Defl:X,13611,76.498%,2024-01-05 19:00,63d9b92d,mmwr/preview/index83.html
mmwr,57744,Defl:X,13817,76.072%,2024-01-05 19:00,767f35ae,mmwr/preview/index84.html
mmwr,61389,Defl:X,14307,76.695%,2024-01-05 19:00,3d35ef8f,mmwr/preview/index85.html
mmwr,59612,Defl:X,13881,76.714%,2024-01-05 19:00,d86a8b65,mmwr/preview/index86.html
mmwr,60918,Defl:X,14421,76.327%,2024-01-05 19:00,fcd5a2b6,mmwr/preview/index87.html
mmwr,56369,Defl:X,13488,76.072%,2024-01-05 19:00,3384b140,mmwr/preview/index88.html
mmwr,60656,Defl:X,14038,76.856%,2024-01-05 19:00,5d721fed,mmwr/preview/index89.html
mmwr,67586,Defl:X,15940,76.415%,2024-01-05 19:00,b9e794ec,mmwr/preview/index90.html
mmwr,71057,Defl:X,16853,76.282%,2024-01-05 19:00,ec1fdecf,mmwr/preview/index91.html
mmwr,69010,Defl:X,16757,75.718%,2024-01-05 19:00,ee535e2e,mmwr/preview/index92.html
mmwr,75143,Defl:X,17513,76.694%,2024-01-05 19:00,423c4115,mmwr/preview/index93.html
mmwr,78447,Defl:X,17422,77.791%,2024-01-05 19:00,edfdd773,mmwr/preview/index94.html
mmwr,75805,Defl:X,16760,77.891%,2024-01-05 19:00,37cad02a,mmwr/preview/index95.html
mmwr,81911,Defl:X,18176,77.810%,2024-01-05 19:00,26301588,mmwr/preview/index96.html
mmwr,87689,Defl:X,19036,78.291%,2024-01-05 19:00,04ce0d64,mmwr/preview/index97.html
mmwr,82434,Defl:X,17799,78.408%,2024-01-05 19:00,d751e48c,mmwr/preview/index98.html
mmwr,78594,Defl:X,17202,78.113%,2024-01-05 19:00,2f9d906f,mmwr/index1999.htm
mmwr,81829,Defl:X,17666,78.411%,2024-01-05 19:00,342d03a3,mmwr/index2000.htm
mmwr,81507,Defl:X,17597,78.410%,2024-01-05 19:00,67594457,mmwr/index2001.htm
mmwr,85738,Defl:X,17857,79.173%,2024-01-05 19:00,d5784646,mmwr/index2002.htm
mmwr,95354,Defl:X,19683,79.358%,2024-01-05 19:00,8372fc54,mmwr/index2003.htm
mmwr,91806,Defl:X,19865,78.362%,2024-01-05 19:00,6cfdb86e,mmwr/index2004.htm
mmwr,97852,Defl:X,20844,78.698%,2024-01-05 19:00,d2a621c8,mmwr/index2005.htm
mmwr,96567,Defl:X,20471,78.801%,2024-01-05 19:00,82b3f53f,mmwr/index2006.htm
mmwr,90728,Defl:X,19719,78.266%,2024-01-05 19:00,4a257fc4,mmwr/index2007.html
mmwr,94004,Defl:X,20396,78.303%,2024-01-05 19:00,e43b36b4,mmwr/index2008.html
mmwr,107630,Defl:X,20040,81.381%,2024-01-05 19:00,8755ce10,mmwr/index2009.html
mmwr,110792,Defl:X,21061,80.991%,2024-01-05 19:00,b9535f13,mmwr/index2010.html
mmwr,115439,Defl:X,22790,80.258%,2024-01-05 19:00,2348a5f5,mmwr/index2011.html
mmwr,121600,Defl:X,23368,80.783%,2024-01-05 19:00,d67b79d7,mmwr/index2012.html
mmwr,137595,Defl:X,24998,81.832%,2024-01-05 19:00,58e21bc7,mmwr/index2013.html
mmwr,152134,Defl:X,26738,82.425%,2024-01-05 19:00,cd0fdaca,mmwr/index2014.html
mmwr,384571,Defl:X,113794,70.410%,2024-01-05 19:00,ca208332,mmwr/index2015.html
mmwr,388612,Defl:X,114290,70.590%,2024-01-05 19:00,fccf34fc,mmwr/index2016.html
mmwr,300943,Defl:X,82075,72.727%,2024-01-05 19:00,72038892,mmwr/index2017.html
mmwr,280701,Defl:X,80340,71.379%,2024-01-05 19:00,2ee88d8b,mmwr/index2018.html
mmwr,271817,Defl:X,77119,71.628%,2024-01-05 19:00,6705cddc,mmwr/index2019.html
mmwr,299234,Defl:X,82926,72.287%,2024-01-05 19:00,e055aae6,mmwr/index2020.html
mmwr,292657,Defl:X,80867,72.368%,2024-01-05 19:00,d5d976e8,mmwr/index2021.html
mmwr,283220,Defl:X,78777,72.185%,2024-01-05 19:00,66a4abdf,mmwr/index2022.html
mmwr,277285,Defl:X,77796,71.944%,2024-01-05 19:00,acc5622a,mmwr/index2023.html
mmwr,35159,Defl:X,8493,75.844%,2024-01-05 19:00,2ed57526,mmwr/preview/ind1990_rr.html
mmwr,33015,Defl:X,8248,75.017%,2024-01-05 19:00,68498263,mmwr/preview/ind1991_rr.html
mmwr,34014,Defl:X,8415,75.260%,2024-01-05 19:00,3df39e65,mmwr/preview/ind1992_rr.html
mmwr,35119,Defl:X,8460,75.910%,2024-01-05 19:00,bfe2bd75,mmwr/preview/ind1993_rr.html
