Series,Length,Method,Size,Cmpr,Date    Time,CRC-32,Name
mmwr,76676,Defl:X,19000,75%,2025-01-07 18:00,c6c4673e,mmwr/ind2023_su.html
mmwr,81449,Defl:X,19951,76%,2025-01-07 18:00,a6710c7b,mmwr/ind2024_su.html
mmwr,166129,Defl:X,35347,79%,2025-01-07 18:00,7b6b261e,mmwr/index2023.html
mmwr,147733,Defl:X,32813,78%,2025-01-07 18:00,df1fe2d2,mmwr/index2024.html
mmwr,77094,Defl:X,19187,75%,2025-01-07 18:00,cfd3a047,mmwr/indrr_2023.html
mmwr,76941,Defl:X,19165,75%,2025-01-07 18:00,38dabbbd,mmwr/indrr_2024.html
mmwr,77925,Defl:X,19547,75%,2025-01-07 18:00,0f963b6b,mmwr/indss_2023.html
mmwr,77885,Defl:X,19449,75%,2025-01-07 18:00,fc48f33b,mmwr/indss_2024.html
mmwr,76944,Defl:X,18909,75%,2025-01-07 18:00,84f13ca4,mmwr/mmwr_rr/rr_pvol.html
mmwr,77375,Defl:X,19044,75%,2025-01-07 18:00,913fca6f,mmwr/mmwr_ss/ss_pvol.html
mmwr,75762,Defl:X,18700,75%,2025-01-07 18:00,b11894d9,mmwr/mmwr_su/index.html
mmwr,77512,Defl:X,19020,76%,2025-01-07 18:00,ad357a2d,mmwr/mmwr_wk/wk_pvol.html
mmwr,392478,Defl:X,84233,79%,2025-01-07 18:00,6115e82d,mmwr/volumes/73/rr/rr7301a1.htm
mmwr,144865,Defl:X,36529,75%,2025-01-07 18:00,7b320fd0,mmwr/volumes/73/rr/rr7302a1.htm
mmwr,677279,Defl:X,118850,83%,2025-01-07 18:00,6065ed53,mmwr/volumes/73/rr/rr7303a1.htm
mmwr,159758,Defl:X,40011,75%,2025-01-07 18:00,b4ccc72d,mmwr/volumes/73/rr/rr7304a1.htm
mmwr,300162,Defl:X,63965,79%,2025-01-07 18:00,3cc5e45d,mmwr/volumes/73/rr/rr7305a1.htm
mmwr,321445,Defl:X,78958,75%,2025-01-07 18:00,befd3aed,mmwr/volumes/73/rr/rr7306a1.htm
mmwr,314314,Defl:X,44889,86%,2025-01-07 18:00,6b64027a,mmwr/volumes/73/ss/ss7301a1.htm
mmwr,178708,Defl:X,40781,77%,2025-01-07 18:00,bbd4fe38,mmwr/volumes/73/ss/ss7302a1.htm
mmwr,330135,Defl:X,64851,80%,2025-01-07 18:00,7019bfda,mmwr/volumes/73/ss/ss7303a1.htm
mmwr,269040,Defl:X,43206,84%,2025-01-07 18:00,e8df1dab,mmwr/volumes/73/ss/ss7304a1.htm
mmwr,448125,Defl:X,90221,80%,2025-01-07 18:00,88ab98ac,mmwr/volumes/73/ss/ss7305a1.htm
mmwr,244465,Defl:X,51939,79%,2025-01-07 18:00,44d6670c,mmwr/volumes/73/ss/ss7306a1.htm
mmwr,448561,Defl:X,69252,85%,2025-01-07 18:00,2c5019c1,mmwr/volumes/73/ss/ss7307a1.htm
mmwr,210308,Defl:X,39909,81%,2025-01-07 18:00,aa13800e,mmwr/volumes/73/ss/ss7308a1.htm
mmwr,240495,Defl:X,52775,78%,2025-01-07 18:00,4bd4a8b2,mmwr/volumes/73/ss/ss7309a1.htm
mmwr,151420,Defl:X,36863,76%,2025-01-07 18:00,fe2d5f69,mmwr/volumes/73/su/su7301a1.htm
mmwr,209083,Defl:X,40571,81%,2025-01-07 18:00,5301f8e0,mmwr/volumes/73/su/su7301a2.htm
mmwr,218555,Defl:X,44641,80%,2025-01-07 18:00,a0fc0f20,mmwr/volumes/73/su/su7301a3.htm
mmwr,138320,Defl:X,32892,76%,2025-01-07 18:00,804bb6ca,mmwr/volumes/73/su/su7301a4.htm
mmwr,192794,Defl:X,42516,78%,2025-01-07 18:00,0f8865fb,mmwr/volumes/73/su/su7301a5.htm
mmwr,182812,Defl:X,40425,78%,2025-01-07 18:00,03edfb6f,mmwr/volumes/73/su/su7301a6.htm
mmwr,183307,Defl:X,40810,78%,2025-01-07 18:00,66f3d142,mmwr/volumes/73/su/su7301a7.htm
mmwr,146919,Defl:X,35087,76%,2025-01-07 18:00,611f4aa2,mmwr/volumes/73/su/su7302a1.htm
mmwr,145950,Defl:X,36717,75%,2025-01-07 18:00,80bb7cf1,mmwr/volumes/73/su/su7302a2.htm
mmwr,155915,Defl:X,39708,75%,2025-01-07 18:00,3a1f3418,mmwr/volumes/73/su/su7302a3.htm
mmwr,184824,Defl:X,44636,76%,2025-01-07 18:00,4fb98e07,mmwr/volumes/73/su/su7303a1.htm
mmwr,159409,Defl:X,40683,75%,2025-01-07 18:00,19a5bb97,mmwr/volumes/73/su/su7304a1.htm
mmwr,140741,Defl:X,34852,75%,2025-01-07 18:00,7d28ac5f,mmwr/volumes/73/su/su7304a10.htm
mmwr,188146,Defl:X,38984,79%,2025-01-07 18:00,532e206d,mmwr/volumes/73/su/su7304a11.htm
mmwr,160837,Defl:X,36792,77%,2025-01-07 18:00,06a9994b,mmwr/volumes/73/su/su7304a2.htm
mmwr,165121,Defl:X,37276,77%,2025-01-07 18:00,81c68314,mmwr/volumes/73/su/su7304a3.htm
mmwr,167491,Defl:X,37692,78%,2025-01-07 18:00,64acd66d,mmwr/volumes/73/su/su7304a4.htm
mmwr,194958,Defl:X,42206,78%,2025-01-07 18:00,7fc5658c,mmwr/volumes/73/su/su7304a5.htm
mmwr,162134,Defl:X,37923,77%,2025-01-07 18:00,d4783eb9,mmwr/volumes/73/su/su7304a6.htm
mmwr,169269,Defl:X,38329,77%,2025-01-07 18:00,2bc60f90,mmwr/volumes/73/su/su7304a7.htm
mmwr,185657,Defl:X,40466,78%,2025-01-07 18:00,483be11a,mmwr/volumes/73/su/su7304a8.htm
mmwr,145967,Defl:X,35848,75%,2025-01-07 18:00,776b61c0,mmwr/volumes/73/su/su7304a9.htm
mmwr,125631,Defl:X,30457,76%,2025-01-07 18:00,a8ac8140,mmwr/volumes/73/wr/mm7301a1.htm
mmwr,117727,Defl:X,29565,75%,2025-01-07 18:00,5969e0c9,mmwr/volumes/73/wr/mm7301a2.htm
mmwr,114572,Defl:X,29141,75%,2025-01-07 18:00,230b58a8,mmwr/volumes/73/wr/mm7301a3.htm
mmwr,173574,Defl:X,38313,78%,2025-01-07 18:00,8d1ab159,mmwr/volumes/73/wr/mm7301a4.htm
mmwr,81366,Defl:X,20569,75%,2025-01-07 18:00,f0d21aa7,mmwr/volumes/73/wr/mm7301a5.htm
mmwr,86631,Defl:X,22161,74%,2025-01-07 18:00,ab791bc1,mmwr/volumes/73/wr/mm7301a6.htm
mmwr,113088,Defl:X,28771,75%,2025-01-07 18:00,9a55d359,mmwr/volumes/73/wr/mm7302a1.htm
mmwr,113734,Defl:X,29711,74%,2025-01-07 18:00,79bf9987,mmwr/volumes/73/wr/mm7302a2.htm
mmwr,142840,Defl:X,33054,77%,2025-01-07 18:00,c6275622,mmwr/volumes/73/wr/mm7302a3.htm
mmwr,120206,Defl:X,30486,75%,2025-01-07 18:00,67c1eb56,mmwr/volumes/73/wr/mm7302a4.htm
mmwr,85205,Defl:X,21934,74%,2025-01-07 18:00,ab2f2918,mmwr/volumes/73/wr/mm7302a5.htm
mmwr,137858,Defl:X,32665,76%,2025-01-07 18:00,0647604c,mmwr/volumes/73/wr/mm7303a1.htm
mmwr,132997,Defl:X,33192,75%,2025-01-07 18:00,3ef84341,mmwr/volumes/73/wr/mm7303a2.htm
mmwr,117091,Defl:X,29232,75%,2025-01-07 18:00,7b0cafdd,mmwr/volumes/73/wr/mm7303a3.htm
mmwr,103412,Defl:X,26301,75%,2025-01-07 18:00,5240848a,mmwr/volumes/73/wr/mm7303a4.htm
mmwr,85844,Defl:X,21918,75%,2025-01-07 18:00,5e71c20b,mmwr/volumes/73/wr/mm7303a5.htm
mmwr,141848,Defl:X,31434,78%,2025-01-07 18:00,53dfc4ba,mmwr/volumes/73/wr/mm7304a1.htm
mmwr,157579,Defl:X,36445,77%,2025-01-07 18:00,2655e891,mmwr/volumes/73/wr/mm7304a2.htm
mmwr,96330,Defl:X,24851,74%,2025-01-07 18:00,e8d19c82,mmwr/volumes/73/wr/mm7304a3.htm
