Length,Method,Size,Cmpr,Date    Time,CRC-32,Name
412243,Defl:X,118269,71%,2024-01-05 19:00,b536c0f7,eid/article/1/1/09-0103_article.html
340998,Defl:X,107082,69%,2024-01-05 19:00,237d3fd7,eid/article/1/1/09-0105_article.html
343807,Defl:X,107321,69%,2024-01-05 19:00,a3eb9a6e,eid/article/1/1/09-0106_article.html
395295,Defl:X,116617,71%,2024-01-05 19:00,aec3c513,eid/article/1/1/95-0101_article.html
415495,Defl:X,121421,71%,2024-01-05 19:00,a8ac4190,eid/article/1/1/95-0102_article.html
357203,Defl:X,109588,69%,2024-01-05 19:00,7c0b2324,eid/article/1/1/95-0104_article.html
337745,Defl:X,106743,68%,2024-01-05 19:00,135dadcc,eid/article/1/1/95-0107_article.html
338740,Defl:X,105728,69%,2024-01-05 19:00,e4d70bef,eid/article/1/1/95-0108_article.html
324954,Defl:X,102117,69%,2024-01-05 19:00,29fd859b,eid/article/1/1/95-0109_article.html
325095,Defl:X,102278,69%,2024-01-05 19:00,222b2423,eid/article/1/1/95-0110_article.html
326884,Defl:X,102782,69%,2024-01-05 19:00,c4522c49,eid/article/1/1/95-0111_article.html
320537,Defl:X,100865,69%,2024-01-05 19:00,9ac30743,eid/article/1/1/ac-0101_article.html
409188,Defl:X,121725,70%,2024-01-05 19:00,f2248db6,eid/article/1/2/95-0201_article.html
402958,Defl:X,116781,71%,2024-01-05 19:00,63bc1607,eid/article/1/2/95-0202_article.html
337838,Defl:X,105388,69%,2024-01-05 19:00,ca5512d9,eid/article/1/2/95-0203_article.html
349310,Defl:X,108752,69%,2024-01-05 19:00,dee782c5,eid/article/1/2/95-0204_article.html
339911,Defl:X,106651,69%,2024-01-05 19:00,8d1998e4,eid/article/1/2/95-0205_article.html
332898,Defl:X,104635,69%,2024-01-05 19:00,1bd7de9f,eid/article/1/2/95-0206_article.html
342321,Defl:X,107383,69%,2024-01-05 19:00,6ba40c45,eid/article/1/2/95-0207_article.html
340191,Defl:X,106407,69%,2024-01-05 19:00,01201f9f,eid/article/1/2/95-0208_article.html
327726,Defl:X,103423,68%,2024-01-05 19:00,cb043aac,eid/article/1/2/95-0209_article.html
326728,Defl:X,102758,69%,2024-01-05 19:00,70a2c53a,eid/article/1/2/95-2010_article.html
329188,Defl:X,103855,69%,2024-01-05 19:00,fa89abd5,eid/article/1/2/95-2011_article.html
320571,Defl:X,100791,69%,2024-01-05 19:00,29f71191,eid/article/1/2/ac-0102_article.html
325285,Defl:X,102460,69%,2024-01-05 19:00,e8a64f5e,eid/article/1/3/09-0314_article.html
455663,Defl:X,125427,73%,2024-01-05 19:00,86c39bc9,eid/article/1/3/95-0301_article.html
421248,Defl:X,119569,72%,2024-01-05 19:00,ea73a5a6,eid/article/1/3/95-0302_article.html
345410,Defl:X,107463,69%,2024-01-05 19:00,ae83b591,eid/article/1/3/95-0303_article.html
336893,Defl:X,105171,69%,2024-01-05 19:00,7edbe423,eid/article/1/3/95-0304_article.html
346118,Defl:X,107235,69%,2024-01-05 19:00,1c48fdb3,eid/article/1/3/95-0305_article.html
340855,Defl:X,106647,69%,2024-01-05 19:00,3d9385f0,eid/article/1/3/95-0306_article.html
343163,Defl:X,107207,69%,2024-01-05 19:00,0f60b98c,eid/article/1/3/95-0307_article.html
353349,Defl:X,108855,69%,2024-01-05 19:00,30ec2295,eid/article/1/3/95-0308_article.html
328596,Defl:X,103574,69%,2024-01-05 19:00,2d681c72,eid/article/1/3/95-0309_article.html
326506,Defl:X,103018,68%,2024-01-05 19:00,7b4637f4,eid/article/1/3/95-0310_article.html
327395,Defl:X,102997,69%,2024-01-05 19:00,a488261f,eid/article/1/3/95-0311_article.html
334102,Defl:X,104784,69%,2024-01-05 19:00,bebd7495,eid/article/1/3/95-0312_article.html
324338,Defl:X,101864,69%,2024-01-05 19:00,c80e5daf,eid/article/1/3/95-0313_article.html
320517,Defl:X,100766,69%,2024-01-05 19:00,8cd5a8a6,eid/article/1/3/ac-0103_article.html
396416,Defl:X,117963,70%,2024-01-05 19:00,5c28a5ae,eid/article/1/4/95-0401_article.html
418441,Defl:X,120165,71%,2024-01-05 19:00,93795a9f,eid/article/1/4/95-0402_article.html
351600,Defl:X,110456,69%,2024-01-05 19:00,dbb4c119,eid/article/1/4/95-0403_article.html
355838,Defl:X,109151,69%,2024-01-05 19:00,972ae0d7,eid/article/1/4/95-0404_article.html
338281,Defl:X,105722,69%,2024-01-05 19:00,7f746b30,eid/article/1/4/95-0405_article.html
345853,Defl:X,107677,69%,2024-01-05 19:00,59bada53,eid/article/1/4/95-0406_article.html
342937,Defl:X,106849,69%,2024-01-05 19:00,aa142fe2,eid/article/1/4/95-0407_article.html
383457,Defl:X,114389,70%,2024-01-05 19:00,c57aad13,eid/article/1/4/95-0408_article.html
371138,Defl:X,111982,70%,2024-01-05 19:00,4abe1d49,eid/article/1/4/95-0409_article.html
350304,Defl:X,107689,69%,2024-01-05 19:00,330351b8,eid/article/1/4/95-0410_article.html
342161,Defl:X,105859,69%,2024-01-05 19:00,301c05cd,eid/article/1/4/95-0411_article.html
324815,Defl:X,102049,69%,2024-01-05 19:00,e66b4c49,eid/article/1/4/95-0412_article.html
324544,Defl:X,102005,69%,2024-01-05 19:00,f4779081,eid/article/1/4/95-0413_article.html
328479,Defl:X,103462,69%,2024-01-05 19:00,c04f85ed,eid/article/1/4/95-0414_article.html
324048,Defl:X,101736,69%,2024-01-05 19:00,549ea58a,eid/article/1/4/95-0415_article.html
327287,Defl:X,102904,69%,2024-01-05 19:00,9394e153,eid/article/1/4/95-0416_article.html
320550,Defl:X,100800,69%,2024-01-05 19:00,840619bd,eid/article/1/4/ac-0104_article.html
390597,Defl:X,116799,70%,2024-01-05 19:00,79240a20,eid/article/10/1/02-0572_article.html
364885,Defl:X,111175,70%,2024-01-05 19:00,43796c23,eid/article/10/1/02-0605_article.html
367101,Defl:X,113287,69%,2024-01-05 19:00,cd8da898,eid/article/10/1/02-0616_article.html
357831,Defl:X,110071,69%,2024-01-05 19:00,dfb7ddd8,eid/article/10/1/02-0622_article.html
362596,Defl:X,110197,70%,2024-01-05 19:00,13380e66,eid/article/10/1/02-0636_article.html
350438,Defl:X,107939,69%,2024-01-05 19:00,7c54f123,eid/article/10/1/02-0662_article.html
378157,Defl:X,113717,70%,2024-01-05 19:00,2b93605e,eid/article/10/1/02-0663_article.html
414102,Defl:X,118235,71%,2024-01-05 19:00,7ad44a8f,eid/article/10/1/02-0705_article.html
412698,Defl:X,118562,71%,2024-01-05 19:00,82137805,eid/article/10/1/02-0714_article.html
354325,Defl:X,109388,69%,2024-01-05 19:00,0f5f2d9e,eid/article/10/1/02-0744_article.html
379632,Defl:X,114198,70%,2024-01-05 19:00,9bee0e55,eid/article/10/1/02-0764_article.html
361258,Defl:X,109924,70%,2024-01-05 19:00,c2dd5241,eid/article/10/1/02-0779_article.html
367130,Defl:X,111168,70%,2024-01-05 19:00,97bd4ce1,eid/article/10/1/02-0781_article.html
342458,Defl:X,106414,69%,2024-01-05 19:00,74d6c0a7,eid/article/10/1/02-0790_article.html
349397,Defl:X,109051,69%,2024-01-05 19:00,8cdafde3,eid/article/10/1/02-0825_article.html
410994,Defl:X,117878,71%,2024-01-05 19:00,97908c3c,eid/article/10/1/03-0119_article.html
413104,Defl:X,119548,71%,2024-01-05 19:00,812ff91f,eid/article/10/1/03-0125_article.html
347550,Defl:X,107006,69%,2024-01-05 19:00,0a25fc6d,eid/article/10/1/03-0132_article.html
381964,Defl:X,115081,70%,2024-01-05 19:00,521cb13c,eid/article/10/1/03-0140_article.html
362189,Defl:X,111111,69%,2024-01-05 19:00,fea5cb7a,eid/article/10/1/03-0144_article.html
424748,Defl:X,119680,72%,2024-01-05 19:00,04b93665,eid/article/10/1/03-0171_article.html
417527,Defl:X,119024,72%,2024-01-05 19:00,3749a8e8,eid/article/10/1/03-0219_article.html
359803,Defl:X,111717,69%,2024-01-05 19:00,13188972,eid/article/10/1/03-0238_article.html
403109,Defl:X,118810,71%,2024-01-05 19:00,38f6521f,eid/article/10/1/03-0243_article.html
389260,Defl:X,116080,70%,2024-01-05 19:00,6781d60f,eid/article/10/1/03-0279_article.html
345423,Defl:X,107021,69%,2024-01-05 19:00,21be1a98,eid/article/10/1/03-0307_article.html
362325,Defl:X,111537,69%,2024-01-05 19:00,2567312e,eid/article/10/1/03-0404_article.html
394695,Defl:X,115433,71%,2024-01-05 19:00,afb7a47f,eid/article/10/1/03-0407_article.html
343346,Defl:X,107255,69%,2024-01-05 19:00,a30818c5,eid/article/10/1/03-0467_article.html
385252,Defl:X,116277,70%,2024-01-05 19:00,b88d4292,eid/article/10/1/03-0553_article.html
339659,Defl:X,106866,69%,2024-01-05 19:00,454ad60c,eid/article/10/1/03-0945_article.html
334554,Defl:X,105829,68%,2024-01-05 19:00,d18ecd07,eid/article/10/1/ac-1001_article.html
323556,Defl:X,101623,69%,2024-01-05 19:00,11487ad7,eid/article/10/1/c1-1001_article.html
323774,Defl:X,101611,69%,2024-01-05 19:00,3ee034d4,eid/article/10/1/c2-1001_article.html
390083,Defl:X,115668,70%,2024-01-05 19:00,334981e1,eid/article/10/10/03-0789_article.html
396394,Defl:X,117221,70%,2024-01-05 19:00,35571ffb,eid/article/10/10/03-0846_article.html
415815,Defl:X,122571,71%,2024-01-05 19:00,807a7ab9,eid/article/10/10/03-0925_article.html
403003,Defl:X,119193,70%,2024-01-05 19:00,3ee69679,eid/article/10/10/03-0941_article.html
