Length,Method,Size,Cmpr,Date    Time,CRC-32,Name
191797,Defl:X,62629,67%,2024-01-05 19:00,af6c752e,mmwr/about.html
191323,Defl:X,62578,67%,2024-01-05 19:00,31ff172d,mmwr/ind2016_su.html
188084,Defl:X,61752,67%,2024-01-05 19:00,838baa90,mmwr/ind2020_su.html
187642,Defl:X,61370,67%,2024-01-05 19:00,45ccdfde,mmwr/ind2022_su.html
187832,Defl:X,61430,67%,2024-01-05 19:00,92e57dc9,mmwr/ind2023_su.html
78594,Defl:X,17202,78%,2024-01-05 19:00,2f9d906f,mmwr/index1999.htm
81829,Defl:X,17666,78%,2024-01-05 19:00,342d03a3,mmwr/index2000.htm
81507,Defl:X,17597,78%,2024-01-05 19:00,67594457,mmwr/index2001.htm
85738,Defl:X,17857,79%,2024-01-05 19:00,d5784646,mmwr/index2002.htm
95354,Defl:X,19683,79%,2024-01-05 19:00,8372fc54,mmwr/index2003.htm
91806,Defl:X,19865,78%,2024-01-05 19:00,6cfdb86e,mmwr/index2004.htm
97852,Defl:X,20844,79%,2024-01-05 19:00,d2a621c8,mmwr/index2005.htm
96567,Defl:X,20471,79%,2024-01-05 19:00,82b3f53f,mmwr/index2006.htm
90728,Defl:X,19719,78%,2024-01-05 19:00,4a257fc4,mmwr/index2007.html
94004,Defl:X,20396,78%,2024-01-05 19:00,e43b36b4,mmwr/index2008.html
107630,Defl:X,20040,81%,2024-01-05 19:00,8755ce10,mmwr/index2009.html
110792,Defl:X,21061,81%,2024-01-05 19:00,b9535f13,mmwr/index2010.html
115439,Defl:X,22790,80%,2024-01-05 19:00,2348a5f5,mmwr/index2011.html
121600,Defl:X,23368,81%,2024-01-05 19:00,d67b79d7,mmwr/index2012.html
137595,Defl:X,24998,82%,2024-01-05 19:00,58e21bc7,mmwr/index2013.html
152134,Defl:X,26738,82%,2024-01-05 19:00,cd0fdaca,mmwr/index2014.html
384571,Defl:X,113794,70%,2024-01-05 19:00,ca208332,mmwr/index2015.html
388612,Defl:X,114290,71%,2024-01-05 19:00,fccf34fc,mmwr/index2016.html
300943,Defl:X,82075,73%,2024-01-05 19:00,72038892,mmwr/index2017.html
280701,Defl:X,80340,71%,2024-01-05 19:00,2ee88d8b,mmwr/index2018.html
271817,Defl:X,77119,72%,2024-01-05 19:00,6705cddc,mmwr/index2019.html
299234,Defl:X,82926,72%,2024-01-05 19:00,e055aae6,mmwr/index2020.html
292657,Defl:X,80867,72%,2024-01-05 19:00,d5d976e8,mmwr/index2021.html
283220,Defl:X,78777,72%,2024-01-05 19:00,66a4abdf,mmwr/index2022.html
277285,Defl:X,77796,72%,2024-01-05 19:00,acc5622a,mmwr/index2023.html
35166,Defl:X,8451,76%,2024-01-05 19:00,b7ee2db8,mmwr/indrr_1999.html
36114,Defl:X,8720,76%,2024-01-05 19:00,dc234ae9,mmwr/indrr_2000.html
38906,Defl:X,9340,76%,2024-01-05 19:00,94e9cad9,mmwr/indrr_2001.html
39845,Defl:X,9727,76%,2024-01-05 19:00,cd5be7c6,mmwr/indrr_2002.html
37096,Defl:X,8919,76%,2024-01-05 19:00,d8fa31db,mmwr/indrr_2003.html
36784,Defl:X,8852,76%,2024-01-05 19:00,a482f6ab,mmwr/indrr_2004.html
37191,Defl:X,8979,76%,2024-01-05 19:00,ab71c67c,mmwr/indrr_2005.html
38354,Defl:X,9134,76%,2024-01-05 19:00,c7a2f566,mmwr/indrr_2006.html
31616,Defl:X,7811,75%,2024-01-05 19:00,ff98d0be,mmwr/indrr_2007.html
32848,Defl:X,8037,76%,2024-01-05 19:00,1fdc84ce,mmwr/indrr_2008.html
36665,Defl:X,8787,76%,2024-01-05 19:00,dd8fa124,mmwr/indrr_2009.html
36087,Defl:X,8313,77%,2024-01-05 19:00,3a162f10,mmwr/indrr_2010.html
32720,Defl:X,7909,76%,2024-01-05 19:00,d99dec9a,mmwr/indrr_2011.html
31793,Defl:X,7868,75%,2024-01-05 19:00,9ded534c,mmwr/indrr_2012.html
34078,Defl:X,8206,76%,2024-01-05 19:00,eee41ce9,mmwr/indrr_2013.html
32427,Defl:X,7886,76%,2024-01-05 19:00,4273ca11,mmwr/indrr_2014.html
273438,Defl:X,93329,66%,2024-01-05 19:00,2fa259b2,mmwr/indrr_2015.html
274029,Defl:X,93484,66%,2024-01-05 19:00,5b015959,mmwr/indrr_2016.html
273122,Defl:X,93230,66%,2024-01-05 19:00,f0b96e99,mmwr/indrr_2017.html
273757,Defl:X,93077,66%,2024-01-05 19:00,bdf660b0,mmwr/indrr_2018.html
187638,Defl:X,61487,67%,2024-01-05 19:00,32aba2f9,mmwr/indrr_2019.html
188920,Defl:X,61785,67%,2024-01-05 19:00,d0771568,mmwr/indrr_2020.html
187880,Defl:X,61573,67%,2024-01-05 19:00,f6fd344e,mmwr/indrr_2021.html
187468,Defl:X,61491,67%,2024-01-05 19:00,9c1aeca7,mmwr/indrr_2022.html
188256,Defl:X,61635,67%,2024-01-05 19:00,78a8e6bf,mmwr/indrr_2023.html
33046,Defl:X,8094,76%,2024-01-05 19:00,d2ccec37,mmwr/indss_1999.html
33173,Defl:X,8110,76%,2024-01-05 19:00,4ded7126,mmwr/indss_2000.html
31209,Defl:X,7642,76%,2024-01-05 19:00,31833b95,mmwr/indss_2001.html
33614,Defl:X,8071,76%,2024-01-05 19:00,7bf4626f,mmwr/indss_2002.html
33627,Defl:X,8079,76%,2024-01-05 19:00,7fcc7eee,mmwr/indss_2003.html
33059,Defl:X,7948,76%,2024-01-05 19:00,0864ff4b,mmwr/indss_2004.html
32310,Defl:X,7864,76%,2024-01-05 19:00,4702337a,mmwr/indss_2005.html
34682,Defl:X,8384,76%,2024-01-05 19:00,cffa5096,mmwr/indss_2006.html
33822,Defl:X,8156,76%,2024-01-05 19:00,100f66d1,mmwr/indss_2007.html
35359,Defl:X,8284,77%,2024-01-05 19:00,8236029c,mmwr/indss_2008.html
33261,Defl:X,8095,76%,2024-01-05 19:00,dc334db7,mmwr/indss_2009.html
33469,Defl:X,8004,76%,2024-01-05 19:00,c6adb0f7,mmwr/indss_2010.html
35818,Defl:X,8533,76%,2024-01-05 19:00,8edd98cf,mmwr/indss_2011.html
33004,Defl:X,7950,76%,2024-01-05 19:00,ecdf7e7f,mmwr/indss_2012.html
32843,Defl:X,7943,76%,2024-01-05 19:00,07541cff,mmwr/indss_2013.html
35659,Defl:X,8434,76%,2024-01-05 19:00,701ea62a,mmwr/indss_2014.html
37047,Defl:X,9380,75%,2024-01-05 19:00,40b2bc71,mmwr/indss_2015.html
277224,Defl:X,94225,66%,2024-01-05 19:00,0c2131d1,mmwr/indss_2016.html
283496,Defl:X,95608,66%,2024-01-05 19:00,8b8979c7,mmwr/indss_2017.html
277044,Defl:X,94069,66%,2024-01-05 19:00,029dabce,mmwr/indss_2018.html
189140,Defl:X,61847,67%,2024-01-05 19:00,9a9e6c74,mmwr/indss_2019.html
188747,Defl:X,61774,67%,2024-01-05 19:00,c3585c62,mmwr/indss_2020.html
189237,Defl:X,61866,67%,2024-01-05 19:00,397dad11,mmwr/indss_2021.html
188795,Defl:X,61754,67%,2024-01-05 19:00,3c89c3ed,mmwr/indss_2022.html
189095,Defl:X,61976,67%,2024-01-05 19:00,7b0cf7b7,mmwr/indss_2023.html
188896,Defl:X,61704,67%,2024-01-05 19:00,54db450a,mmwr/mmwr_rr/rr_pvol.html
189547,Defl:X,61830,67%,2024-01-05 19:00,f2c60d5c,mmwr/mmwr_ss/ss_pvol.html
186862,Defl:X,61029,67%,2024-01-05 19:00,fce1bfff,mmwr/mmwr_su/index.html
188880,Defl:X,61375,68%,2024-01-05 19:00,a00181ba,mmwr/mmwr_wk/wk_pvol.html
31002,Defl:X,7725,75%,2024-01-05 19:00,e1cfb976,mmwr/preview/ind1983_ss.html
29319,Defl:X,7200,75%,2024-01-05 19:00,1f97eb3c,mmwr/preview/ind1985_su.html
29716,Defl:X,7374,75%,2024-01-05 19:00,244f4cef,mmwr/preview/ind1986_ss.html
29356,Defl:X,7219,75%,2024-01-05 19:00,1c00d231,mmwr/preview/ind1986_su.html
29781,Defl:X,7339,75%,2024-01-05 19:00,35f5e1c4,mmwr/preview/ind1987_su.html
30982,Defl:X,7719,75%,2024-01-05 19:00,1d2192cc,mmwr/preview/ind1988_ss.html
30977,Defl:X,7660,75%,2024-01-05 19:00,9e696ede,mmwr/preview/ind1988_su.html
29920,Defl:X,7381,75%,2024-01-05 19:00,b9e60351,mmwr/preview/ind1989_ss.html
31037,Defl:X,7669,75%,2024-01-05 19:00,281db4c7,mmwr/preview/ind1989_su.html
35159,Defl:X,8493,76%,2024-01-05 19:00,2ed57526,mmwr/preview/ind1990_rr.html
31638,Defl:X,7794,75%,2024-01-05 19:00,970b2caa,mmwr/preview/ind1990_ss.html
33015,Defl:X,8248,75%,2024-01-05 19:00,68498263,mmwr/preview/ind1991_rr.html
34014,Defl:X,8415,75%,2024-01-05 19:00,3df39e65,mmwr/preview/ind1992_rr.html
35119,Defl:X,8460,76%,2024-01-05 19:00,bfe2bd75,mmwr/preview/ind1993_rr.html
32835,Defl:X,8138,75%,2024-01-05 19:00,d8d648ac,mmwr/preview/ind1993_ss.html
34877,Defl:X,8404,76%,2024-01-05 19:00,39684eba,mmwr/preview/ind1994_rr.html
30504,Defl:X,7562,75%,2024-01-05 19:00,5ef64013,mmwr/preview/ind1994_ss.html
34393,Defl:X,8357,76%,2024-01-05 19:00,176cf266,mmwr/preview/ind1995_rr.html
31375,Defl:X,7689,76%,2024-01-05 19:00,fc9d0676,mmwr/preview/ind1995_ss.html
35959,Defl:X,8555,76%,2024-01-05 19:00,dd0e6faf,mmwr/preview/ind1996_rr.html
31671,Defl:X,7772,76%,2024-01-05 19:00,fb27a992,mmwr/preview/ind1996_ss.html
36667,Defl:X,8754,76%,2024-01-05 19:00,2ef7abfa,mmwr/preview/ind1997_rr.html
32311,Defl:X,7941,75%,2024-01-05 19:00,030c7341,mmwr/preview/ind1997_ss.html
37637,Defl:X,9065,76%,2024-01-05 19:00,9a25fe50,mmwr/preview/ind1998_rr.html
31432,Defl:X,7772,75%,2024-01-05 19:00,a838c683,mmwr/preview/ind1998_ss.html
29509,Defl:X,7265,75%,2024-01-05 19:00,d1b2abfc,mmwr/preview/ind1999_su.html
29692,Defl:X,7325,75%,2024-01-05 19:00,1e8b6bc2,mmwr/preview/ind2003_su.html
29402,Defl:X,7242,75%,2024-01-05 19:00,fa144c9d,mmwr/preview/ind2004_su.html
29407,Defl:X,7241,75%,2024-01-05 19:00,668ca3be,mmwr/preview/ind2005_su.html
32060,Defl:X,7999,75%,2024-01-05 19:00,3a634fd7,mmwr/preview/ind2006_su.html
35719,Defl:X,8688,76%,2024-01-05 19:00,d5b0d3ab,mmwr/preview/ind2011_su.html
34801,Defl:X,8470,76%,2024-01-05 19:00,ce66fcfb,mmwr/preview/ind2012_su.html
35440,Defl:X,8518,76%,2024-01-05 19:00,d370f0d7,mmwr/preview/ind2013_su.html
35967,Defl:X,8892,75%,2024-01-05 19:00,1435f86c,mmwr/preview/ind2014_su.html
30025,Defl:X,7362,76%,2024-01-05 19:00,09260eed,mmwr/preview/ind2015_su.html
57170,Defl:X,13551,76%,2024-01-05 19:00,0910c07e,mmwr/preview/index82.html
57915,Defl:X,13611,77%,2024-01-05 19:00,63d9b92d,mmwr/preview/index83.html
57744,Defl:X,13817,76%,2024-01-05 19:00,767f35ae,mmwr/preview/index84.html
61389,Defl:X,14307,77%,2024-01-05 19:00,3d35ef8f,mmwr/preview/index85.html
59612,Defl:X,13881,77%,2024-01-05 19:00,d86a8b65,mmwr/preview/index86.html
60918,Defl:X,14421,76%,2024-01-05 19:00,fcd5a2b6,mmwr/preview/index87.html
56369,Defl:X,13488,76%,2024-01-05 19:00,3384b140,mmwr/preview/index88.html
60656,Defl:X,14038,77%,2024-01-05 19:00,5d721fed,mmwr/preview/index89.html
67586,Defl:X,15940,76%,2024-01-05 19:00,b9e794ec,mmwr/preview/index90.html
71057,Defl:X,16853,76%,2024-01-05 19:00,ec1fdecf,mmwr/preview/index91.html
69010,Defl:X,16757,76%,2024-01-05 19:00,ee535e2e,mmwr/preview/index92.html
75143,Defl:X,17513,77%,2024-01-05 19:00,423c4115,mmwr/preview/index93.html
78447,Defl:X,17422,78%,2024-01-05 19:00,edfdd773,mmwr/preview/index94.html
75805,Defl:X,16760,78%,2024-01-05 19:00,37cad02a,mmwr/preview/index95.html
81911,Defl:X,18176,78%,2024-01-05 19:00,26301588,mmwr/preview/index96.html
87689,Defl:X,19036,78%,2024-01-05 19:00,04ce0d64,mmwr/preview/index97.html
82434,Defl:X,17799,78%,2024-01-05 19:00,d751e48c,mmwr/preview/index98.html
19498,Defl:X,5901,70%,2024-01-05 19:00,2ba63d47,mmwr/preview/mmwrhtml/00000001.htm
23649,Defl:X,7548,68%,2024-01-05 19:00,aa994cd9,mmwr/preview/mmwrhtml/00000002.htm
19504,Defl:X,5819,70%,2024-01-05 19:00,2013ce94,mmwr/preview/mmwrhtml/00000003.htm
14547,Defl:X,4116,72%,2024-01-05 19:00,b043bb96,mmwr/preview/mmwrhtml/00000004.htm
18751,Defl:X,5513,71%,2024-01-05 19:00,340766a5,mmwr/preview/mmwrhtml/00000005.htm
19601,Defl:X,6192,68%,2024-01-05 19:00,181789cc,mmwr/preview/mmwrhtml/00000006.htm
20474,Defl:X,6513,68%,2024-01-05 19:00,ca6d8760,mmwr/preview/mmwrhtml/00000007.htm
14499,Defl:X,4015,72%,2024-01-05 19:00,a623e9d8,mmwr/preview/mmwrhtml/00000008.htm
24345,Defl:X,7981,67%,2024-01-05 19:00,36789ccc,mmwr/preview/mmwrhtml/00000009.htm
20673,Defl:X,6519,69%,2024-01-05 19:00,9bee04e7,mmwr/preview/mmwrhtml/00000010.htm
25997,Defl:X,8525,67%,2024-01-05 19:00,d181ea15,mmwr/preview/mmwrhtml/00000011.htm
15156,Defl:X,4365,71%,2024-01-05 19:00,1cd885dc,mmwr/preview/mmwrhtml/00000012.htm
30449,Defl:X,9597,69%,2024-01-05 19:00,27f6c1e3,mmwr/preview/mmwrhtml/00000013.htm
21730,Defl:X,6802,69%,2024-01-05 19:00,a01cdecb,mmwr/preview/mmwrhtml/00000014.htm
21181,Defl:X,6553,69%,2024-01-05 19:00,575b1318,mmwr/preview/mmwrhtml/00000015.htm
22695,Defl:X,7288,68%,2024-01-05 19:00,a03cd506,mmwr/preview/mmwrhtml/00000016.htm
19683,Defl:X,5941,70%,2024-01-05 19:00,32284065,mmwr/preview/mmwrhtml/00000017.htm
20530,Defl:X,6569,68%,2024-01-05 19:00,33a2fd9f,mmwr/preview/mmwrhtml/00000018.htm
18084,Defl:X,5629,69%,2024-01-05 19:00,d7932829,mmwr/preview/mmwrhtml/00000019.htm
23001,Defl:X,7594,67%,2024-01-05 19:00,f61ee418,mmwr/preview/mmwrhtml/00000020.htm
35525,Defl:X,11968,66%,2024-01-05 19:00,0252c127,mmwr/preview/mmwrhtml/00000021.htm
19299,Defl:X,6147,68%,2024-01-05 19:00,ffffd0a5,mmwr/preview/mmwrhtml/00000022.htm
25609,Defl:X,8463,67%,2024-01-05 19:00,e95f5bee,mmwr/preview/mmwrhtml/00000023.htm
25136,Defl:X,8272,67%,2024-01-05 19:00,d4a070ce,mmwr/preview/mmwrhtml/00000024.htm
20864,Defl:X,6534,69%,2024-01-05 19:00,a4d700e9,mmwr/preview/mmwrhtml/00000025.htm
20807,Defl:X,6912,67%,2024-01-05 19:00,c993c459,mmwr/preview/mmwrhtml/00000026.htm
20567,Defl:X,6362,69%,2024-01-05 19:00,0070af47,mmwr/preview/mmwrhtml/00000027.htm
27250,Defl:X,8880,67%,2024-01-05 19:00,2e8a6cf1,mmwr/preview/mmwrhtml/00000028.htm
21950,Defl:X,7199,67%,2024-01-05 19:00,43a7a9c2,mmwr/preview/mmwrhtml/00000029.htm
15245,Defl:X,4370,71%,2024-01-05 19:00,93ff2fa9,mmwr/preview/mmwrhtml/00000030.htm
14360,Defl:X,4002,72%,2024-01-05 19:00,2c1a594c,mmwr/preview/mmwrhtml/00000031.htm
