Length,Method,Size,Cmpr,Date    Time,CRC-32,Name
41762,Defl:X,6301,85%,2024-01-05 19:00,155ed190,pcd/es/2005_apr_toc.htm
27469,Defl:X,4612,83%,2024-01-05 19:00,01c28ecd,pcd/es/2005_jan_toc.htm
33507,Defl:X,5344,84%,2024-01-05 19:00,e1c050a9,pcd/es/2005_jul_toc.htm
31031,Defl:X,4950,84%,2024-01-05 19:00,cdfa4d01,pcd/es/2005_nov_toc.htm
33674,Defl:X,5274,84%,2024-01-05 19:00,3069c1ae,pcd/es/2005_oct_toc.htm
56196,Defl:X,7993,86%,2024-01-05 19:00,31f8fb38,pcd/es/2006_apr_toc.htm
41267,Defl:X,6325,85%,2024-01-05 19:00,267fb395,pcd/es/2006_jan_toc.htm
56408,Defl:X,7795,86%,2024-01-05 19:00,122e0179,pcd/es/2006_jul_toc.htm
36118,Defl:X,5546,85%,2024-01-05 19:00,3f0fe8ba,pcd/es/2006_oct_toc.htm
31692,Defl:X,5037,84%,2024-01-05 19:00,200f4484,pcd/es/2007_apr_toc.htm
31339,Defl:X,4997,84%,2024-01-05 19:00,ee6aad7c,pcd/es/2007_jan_toc.htm
42731,Defl:X,6600,85%,2024-01-05 19:00,9db7d851,pcd/es/2007_jul_toc.htm
50570,Defl:X,7470,85%,2024-01-05 19:00,fa8ffa74,pcd/es/2007_oct_toc.htm
50304,Defl:X,7197,86%,2024-01-05 19:00,f3c79492,pcd/es/2008_apr_toc.htm
47758,Defl:X,7101,85%,2024-01-05 19:00,0e28fb32,pcd/es/2008_jan_toc.htm
48525,Defl:X,7309,85%,2024-01-05 19:00,f3ca691e,pcd/es/2008_jul_toc.htm
52506,Defl:X,7873,85%,2024-01-05 19:00,541b1e8f,pcd/es/2008_oct_toc.htm
56277,Defl:X,8386,85%,2024-01-05 19:00,8c7d7595,pcd/es/2009_apr_toc.htm
56794,Defl:X,8115,86%,2024-01-05 19:00,92d0777e,pcd/es/2009_jan_toc.htm
45693,Defl:X,6706,85%,2024-01-05 19:00,2fc4e070,pcd/es/2009_jul_toc.htm
38490,Defl:X,6371,83%,2024-01-05 19:00,86b13e76,pcd/es/2009_oct_toc.htm
24020,Defl:X,5706,76%,2024-01-05 19:00,6228cda9,pcd/es/2010_jan_toc.htm
23423,Defl:X,5467,77%,2024-01-05 19:00,d9a20cc6,pcd/es/2010_jul_toc.htm
23565,Defl:X,5700,76%,2024-01-05 19:00,6b093f65,pcd/es/2010_mar_toc.htm
25862,Defl:X,6249,76%,2024-01-05 19:00,cf170045,pcd/es/2010_may_toc.htm
22199,Defl:X,4965,78%,2024-01-05 19:00,c28e2420,pcd/es/2010_nov_toc.htm
23228,Defl:X,5223,78%,2024-01-05 19:00,675529fb,pcd/es/2010_sep_toc.htm
26315,Defl:X,6320,76%,2024-01-05 19:00,8ccc4cf2,pcd/es/2011_jan_toc.htm
25058,Defl:X,6019,76%,2024-01-05 19:00,08f0f956,pcd/es/2011_jul_toc.htm
24272,Defl:X,5806,76%,2024-01-05 19:00,b7c174b2,pcd/es/2011_mar_toc.htm
25713,Defl:X,6356,75%,2024-01-05 19:00,3c5447b0,pcd/es/2011_may_toc.htm
31281,Defl:X,7375,76%,2024-01-05 19:00,ef99f023,pcd/es/2011_nov_toc.htm
27542,Defl:X,6704,76%,2024-01-05 19:00,e624863e,pcd/es/2011_sep_toc.htm
160362,Defl:X,33730,79%,2024-01-05 19:00,a484676f,pcd/es/2012_toc.htm
149798,Defl:X,31313,79%,2024-01-05 19:00,66c496ea,pcd/es/2013_toc.htm
38941,Defl:X,10140,74%,2024-01-05 19:00,ab52f56d,pcd/es/2014_toc.htm
38854,Defl:X,8226,79%,2024-01-05 19:00,dc6afd50,pcd/es/archive_es.htm
197702,Defl:X,64620,67%,2024-01-05 19:00,f7f580e9,pcd/index.htm
101786,Defl:X,18350,82%,2024-01-05 19:00,a4a55836,pcd/issues/2004/apr/03_0009.htm
89329,Defl:X,22165,75%,2024-01-05 19:00,8c3c397f,pcd/issues/2004/apr/03_0017.htm
53239,Defl:X,11381,79%,2024-01-05 19:00,b49576ee,pcd/issues/2004/apr/03_0018.htm
87702,Defl:X,19454,78%,2024-01-05 19:00,52bccd70,pcd/issues/2004/apr/03_0019.htm
33552,Defl:X,8734,74%,2024-01-05 19:00,20d72d67,pcd/issues/2004/apr/03_0030.htm
37875,Defl:X,10068,73%,2024-01-05 19:00,ab2947a6,pcd/issues/2004/apr/03_0032.htm
20988,Defl:X,5324,75%,2024-01-05 19:00,df9b0654,pcd/issues/2004/apr/03_0034.htm
26994,Defl:X,6448,76%,2024-01-05 19:00,9d067afb,pcd/issues/2004/apr/04_0002.htm
28236,Defl:X,7669,73%,2024-01-05 19:00,d1faeec2,pcd/issues/2004/apr/04_0005.htm
26322,Defl:X,6423,76%,2024-01-05 19:00,ae73a738,pcd/issues/2004/apr/04_0006.htm
23595,Defl:X,5915,75%,2024-01-05 19:00,e3a50f4d,pcd/issues/2004/apr/04_0007.htm
53129,Defl:X,15005,72%,2024-01-05 19:00,902eb6d7,pcd/issues/2004/apr/04_0009.htm
21052,Defl:X,4950,77%,2024-01-05 19:00,0e30c681,pcd/issues/2004/apr/04_0011.htm
26976,Defl:X,6764,75%,2024-01-05 19:00,e4d4d2ed,pcd/issues/2004/apr/04_0012.htm
29759,Defl:X,7580,75%,2024-01-05 19:00,69b93885,pcd/issues/2004/apr/04_0013.htm
16504,Defl:X,3723,77%,2024-01-05 19:00,9461161a,pcd/issues/2004/apr/cover.htm
34017,Defl:X,5198,85%,2024-01-05 19:00,64aadc2c,pcd/issues/2004/apr/toc.htm
46555,Defl:X,13607,71%,2024-01-05 19:00,88d519ad,pcd/issues/2004/jan/03_0001.htm
88102,Defl:X,19525,78%,2024-01-05 19:00,2b231938,pcd/issues/2004/jan/03_00010a.htm
25076,Defl:X,5736,77%,2024-01-05 19:00,ed650d73,pcd/issues/2004/jan/03_00021.htm
91740,Defl:X,17748,81%,2024-01-05 19:00,5194e5f2,pcd/issues/2004/jan/03_0005.htm
55109,Defl:X,14363,74%,2024-01-05 19:00,fb1c6498,pcd/issues/2004/jan/03_0007.htm
104123,Defl:X,18893,82%,2024-01-05 19:00,471af204,pcd/issues/2004/jan/03_0008.htm
77570,Defl:X,20077,74%,2024-01-05 19:00,192ff802,pcd/issues/2004/jan/03_0010b.htm
68640,Defl:X,18675,73%,2024-01-05 19:00,a495667c,pcd/issues/2004/jan/03_0011.htm
138771,Defl:X,33202,76%,2024-01-05 19:00,d396b6b8,pcd/issues/2004/jan/03_0012.htm
154033,Defl:X,24025,84%,2024-01-05 19:00,809ed30a,pcd/issues/2004/jan/03_0015.htm
29845,Defl:X,7893,74%,2024-01-05 19:00,3a7bc681,pcd/issues/2004/jan/03_0023.htm
43099,Defl:X,11782,73%,2024-01-05 19:00,5cbeaab1,pcd/issues/2004/jan/03_0024.htm
27886,Defl:X,7136,74%,2024-01-05 19:00,e560b79c,pcd/issues/2004/jan/03_0031.htm
69005,Defl:X,17798,74%,2024-01-05 19:00,c28459bd,pcd/issues/2004/jan/03_0033.htm
22317,Defl:X,5256,76%,2024-01-05 19:00,b603a250,pcd/issues/2004/jan/03_0039a.htm
22061,Defl:X,5147,77%,2024-01-05 19:00,ac5f285a,pcd/issues/2004/jan/03_0039b.htm
16858,Defl:X,3910,77%,2024-01-05 19:00,89c0634a,pcd/issues/2004/jan/cover.htm
36564,Defl:X,5444,85%,2024-01-05 19:00,7ca5b5d5,pcd/issues/2004/jan/toc.htm
93398,Defl:X,17638,81%,2024-01-05 19:00,5774834a,pcd/issues/2004/jul/03_0013.htm
74677,Defl:X,19002,75%,2024-01-05 19:00,768df089,pcd/issues/2004/jul/03_0020.htm
68611,Defl:X,15749,77%,2024-01-05 19:00,08078bcc,pcd/issues/2004/jul/03_0029.htm
60960,Defl:X,17435,71%,2024-01-05 19:00,966bf38c,pcd/issues/2004/jul/04_0001.htm
118495,Defl:X,24144,80%,2024-01-05 19:00,a02ed6b4,pcd/issues/2004/jul/04_0016.htm
55832,Defl:X,14888,73%,2024-01-05 19:00,cde1ada4,pcd/issues/2004/jul/04_0030.htm
50134,Defl:X,13022,74%,2024-01-05 19:00,78bb3836,pcd/issues/2004/jul/04_0031.htm
51730,Defl:X,14775,71%,2024-01-05 19:00,71ae22e2,pcd/issues/2004/jul/04_0033.htm
28537,Defl:X,7819,73%,2024-01-05 19:00,70f4fe59,pcd/issues/2004/jul/04_0040.htm
66316,Defl:X,18065,73%,2024-01-05 19:00,24428056,pcd/issues/2004/jul/04_0043.htm
29926,Defl:X,8062,73%,2024-01-05 19:00,0c505372,pcd/issues/2004/jul/04_0044.htm
20408,Defl:X,4623,77%,2024-01-05 19:00,b5ca654f,pcd/issues/2004/jul/04_0051.htm
37091,Defl:X,10124,73%,2024-01-05 19:00,88da989c,pcd/issues/2004/jul/04_0054.htm
16479,Defl:X,3732,77%,2024-01-05 19:00,94003e04,pcd/issues/2004/jul/cover.htm
31459,Defl:X,5234,83%,2024-01-05 19:00,ef2ef82f,pcd/issues/2004/jul/toc.htm
167845,Defl:X,27424,84%,2024-01-05 19:00,15449f26,pcd/issues/2004/oct/03_0036.htm
60199,Defl:X,15366,75%,2024-01-05 19:00,aa873aaf,pcd/issues/2004/oct/03_0037.htm
92962,Defl:X,20121,78%,2024-01-05 19:00,bd23c9f5,pcd/issues/2004/oct/03_0038.htm
121467,Defl:X,23530,81%,2024-01-05 19:00,14980604,pcd/issues/2004/oct/04_0004.htm
91361,Defl:X,22477,75%,2024-01-05 19:00,84563139,pcd/issues/2004/oct/04_0015.htm
143295,Defl:X,36345,75%,2024-01-05 19:00,7b2a810b,pcd/issues/2004/oct/04_0019.htm
76306,Defl:X,16950,78%,2024-01-05 19:00,575363e2,pcd/issues/2004/oct/04_0020.htm
107558,Defl:X,19711,82%,2024-01-05 19:00,c2f6c198,pcd/issues/2004/oct/04_0021.htm
59455,Defl:X,13590,77%,2024-01-05 19:00,88ec1d09,pcd/issues/2004/oct/04_0023.htm
97185,Defl:X,23510,76%,2024-01-05 19:00,055ccaa8,pcd/issues/2004/oct/04_0028.htm
104640,Defl:X,23666,77%,2024-01-05 19:00,7abb5386,pcd/issues/2004/oct/04_0034.htm
77568,Defl:X,15596,80%,2024-01-05 19:00,c7bd2abf,pcd/issues/2004/oct/04_0035.htm
205683,Defl:X,30567,85%,2024-01-05 19:00,aeace297,pcd/issues/2004/oct/04_0041.htm
51648,Defl:X,13825,73%,2024-01-05 19:00,1c68fdd7,pcd/issues/2004/oct/04_0047.htm
34666,Defl:X,7179,79%,2024-01-05 19:00,9a6a77de,pcd/issues/2004/oct/04_0056.htm
103063,Defl:X,21705,79%,2024-01-05 19:00,99e98d9b,pcd/issues/2004/oct/04_0058.htm
27835,Defl:X,7157,74%,2024-01-05 19:00,ac7c712f,pcd/issues/2004/oct/04_0060.htm
40656,Defl:X,11302,72%,2024-01-05 19:00,7956d9ff,pcd/issues/2004/oct/04_0067.htm
81559,Defl:X,22885,72%,2024-01-05 19:00,2f5aff85,pcd/issues/2004/oct/04_0070.htm
31986,Defl:X,7902,75%,2024-01-05 19:00,a300d0dd,pcd/issues/2004/oct/04_0074.htm
46417,Defl:X,12552,73%,2024-01-05 19:00,b4854f06,pcd/issues/2004/oct/04_0084.htm
32420,Defl:X,8582,74%,2024-01-05 19:00,cfbbdf4e,pcd/issues/2004/oct/04_0092.htm
16881,Defl:X,3922,77%,2024-01-05 19:00,52b82687,pcd/issues/2004/oct/cover.htm
44753,Defl:X,6792,85%,2024-01-05 19:00,4748ce4e,pcd/issues/2004/oct/toc.htm
23539,Defl:X,5999,75%,2024-01-05 19:00,cbab8b03,pcd/issues/2005/apr/04_0039_es.htm
23804,Defl:X,6057,75%,2024-01-05 19:00,6f81fa2b,pcd/issues/2005/apr/04_0039_fr.htm
26506,Defl:X,6359,76%,2024-01-05 19:00,d9066320,pcd/issues/2005/apr/04_0039_zhs.htm
26522,Defl:X,6359,76%,2024-01-05 19:00,8b4ab7f4,pcd/issues/2005/apr/04_0039_zht.htm
70867,Defl:X,18688,74%,2024-01-05 19:00,d19f9014,pcd/issues/2005/apr/04_0039.htm
23776,Defl:X,5821,76%,2024-01-05 19:00,61e661f4,pcd/issues/2005/apr/04_0049_es.htm
